source,code,player,date,event,level,round,opponent,score,points,file,row_id,in_dump_export,ref_id,ref_level,ref_event,link,duplicate_of_other_copy
pbp_copy_2018,H0A4,Nick Hardt,2015-12-03,ITFTour-DominicanRepublicF1,ITF main draw,,Peter Torebko,6-0 6-1,80,pbp_matches_fu_main_archive.csv,8558309,,H0A4:atp:2015/7197/ms004:T911,ITF main draw,Dominican Republic F1,linked,False
pbp_copy_2018,H0A4,Nick Hardt,2015-12-09,ITFTour-DominicanRepublicF2,ITF main draw,,Peter Torebko,6-4 7-6(2),156,pbp_matches_fu_main_archive.csv,8588012,,H0A4:atp:2015/7468/ms012:T911,ITF main draw,Dominican Republic F2,linked,False
pbp_copy_2018,H0A4,Nick Hardt,2015-12-14,ITFTour-DominicanRepublicF3,ITF main draw,,Raleigh Smith,6-2 6-2,110,pbp_matches_fu_main_archive.csv,8608174,,H0A4:atp:2015/7476/ms018:SP18,ITF main draw,Dominican Republic F3,linked,False
pbp_copy_2018,CH12,Jan Choinski,2017-01-11,ITFTour-GermanyF1,ITF main draw,,Pirmin Haenle,6-1 6-2,99,pbp_matches_fu_main_current.csv,10481042,,CH12:atp:2017/114/ms022:H844,ITF main draw,Germany F1,linked,False
pbp_copy_2018,CH12,Jan Choinski,2017-01-13,ITFTour-GermanyF1,ITF main draw,,Evgeny Karlovskiy,7-5 6-2,126,pbp_matches_fu_main_current.csv,10491068,,CH12:atp:2017/114/ms005:KD87,ITF main draw,Germany F1,linked,False
pbp_copy_2018,H09P,Brandon Holt,2017-01-11,ITFTour-USAF2,ITF main draw,,Luke Bambridge,6-1 6-4,120,pbp_matches_fu_main_current.csv,10476508,,H09P:atp:2017/579/ms017:BK05,ITF main draw,U.S.A. F2,linked,False
pbp_copy_2018,H09P,Brandon Holt,2017-01-13,ITFTour-USAF2,ITF main draw,,Tommy Paul,6-3 7-6(2),145,pbp_matches_fu_main_current.csv,10489242,,H09P:atp:2017/579/ms008:PL56,ITF main draw,U.S.A. F2,linked,False
pbp_copy_2018,CH12,Jan Choinski,2017-01-25,ITFTour-GermanyF3,ITF main draw,,Elmar Ejupovic,6-3 6-3,101,pbp_matches_fu_main_current.csv,10552347,,CH12:atp:2017/738/ms030:E811,ITF main draw,Germany F3,linked,False
pbp_copy_2018,CH12,Jan Choinski,2017-01-26,ITFTour-GermanyF3,ITF main draw,,Laurynas Grigelis,6-4 7-5,125,pbp_matches_fu_main_current.csv,10557133,,CH12:atp:2017/738/ms015:GA71,ITF main draw,Germany F3,linked,False
pbp_copy_2018,CH12,Jan Choinski,2017-01-27,ITFTour-GermanyF3,ITF main draw,,Alexey Vatutin,6-0 6-3,91,pbp_matches_fu_main_current.csv,10563724,,CH12:atp:2017/738/ms007:V717,ITF main draw,Germany F3,linked,False
tennis_abstract_chart,H0A4,Nick Hardt,2022-02-24,ITF Santo Domingo,,R16,Peter Bertran,,,meta.html,20220224-M-ITF_Santo_Domingo-R16-Peter_Bertran-Nick_Hardt,True,H0A4:atp:2022/7197/ms010:BP79,ITF main draw,M25 Santo Domingo,linked,False
tennis_abstract_chart,H09P,Brandon Holt,2022-08-29,US Open,,R128,Taylor Fritz,,,meta.html,20220829-M-US_Open-R128-Brandon_Holt-Taylor_Fritz,False,H09P:atp:2022/560/ms088:FB98,Tour main draw,US Open,linked,False
tennis_abstract_chart,H09P,Brandon Holt,2022-08-31,US Open,,R64,Pedro Cachin,,,meta.html,20220831-M-US_Open-R64-Pedro_Cachin-Brandon_Holt,True,H09P:atp:2022/560/ms044:CG04,Tour main draw,US Open,linked,False
tennis_abstract_chart,H0A4,Nick Hardt,2022-10-09,Alicante CH,,F,Lukas Klein,,,meta.html,20221009-M-Alicante_CH-F-Lukas_Klein-Nick_Hardt,False,H0A4:atp:2022/7909/ms001:KI63,Challenger main draw,Alicante,linked,False
tennis_abstract_chart,O0A2,Gauthier Onclin,2023-05-22,Roland Garros,,Q1,Nicholas David Ionel,,,meta.html,20230522-M-Roland_Garros-Q1-Gauthier_Onclin-Nicholas_David_Ionel,False,O0A2:atp:2023/520/qs098:I0A7,Tour qualifying,Roland Garros,linked,False
tennis_abstract_chart,CH12,Jan Choinski,2023-05-24,Roland Garros,,Q2,Sebastian Ofner,,,meta.html,20230524-M-Roland_Garros-Q2-Jan_Choinski-Sebastian_Ofner,False,CH12:atp:2023/520/qs058:O513,Tour qualifying,Roland Garros,linked,False
tennis_abstract_chart,CH12,Jan Choinski,2023-07-06,Wimbledon,,R64,Hubert Hurkacz,,,meta.html,20230706-M-Wimbledon-R64-Jan_Choinski-Hubert_Hurkacz,True,CH12:atp:2023/540/ms061:HB71,Tour main draw,Wimbledon,linked,False
tennis_abstract_chart,W09E,Adam Walton,2023-08-11,Cary CH,,QF,Rinky Hijikata,,,meta.html,20230811-M-Cary_CH-QF-Rinky_Hijikata-Adam_Walton,False,W09E:atp:2023/9560/ms007:H0BH,Challenger main draw,Cary 1,linked,False
tennis_abstract_chart,W09E,Adam Walton,2024-01-14,Australian Open,,R128,Matteo Arnaldi,,,meta.html,20240114-M-Australian_Open-R128-Matteo_Arnaldi-Adam_Walton,True,,,,not on the official record,False
tennis_abstract_chart,CH12,Jan Choinski,2024-04-04,Estoril,,R16,Hubert Hurkacz,,,meta.html,20240404-M-Estoril-R16-Hubert_Hurkacz-Jan_Choinski,True,CH12:atp:2024/7290/ms015:HB71,Tour main draw,Estoril,linked,False
tennis_abstract_chart,H0A4,Nick Hardt,2024-04-07,Barcelona CH,,F,Bernabe Zapata Miralles,,,meta.html,20240407-M-Barcelona_CH-F-Bernabe_Zapata_Miralles-Nick_Hardt,True,H0A4:atp:2024/9132/ms001:Z419,Challenger main draw,Barcelona,linked,False
tennis_abstract_chart,H0A4,Nick Hardt,2024-04-15,Barcelona,,R64,Martin Landaluce,,,meta.html,20240415-M-Barcelona-R64-Martin_Landaluce-Nick_Hardt,True,H0A4:atp:2024/425/ms061:L0IL,Tour main draw,Barcelona,linked,False
tennis_abstract_chart,S0GZ,Nikolas Sanchez Izquierdo,2025-03-10,Hersonissos CH,,R32,Stefanos Sakellaridis,,,meta.html,20250310-M-Hersonissos_CH-R32-Stefanos_Sakellaridis-Nikolas_Sanchez_Izquierdo,True,S0GZ:atp:2025/2985/ms022:S0KT,Challenger main draw,Hersonissos 2,linked,False
tennis_abstract_chart,W09E,Adam Walton,2025-06-17,Queens Club,,R32,Carlos Alcaraz,,,meta.html,20250617-M-Queens_Club-R32-Adam_Walton-Carlos_Alcaraz,True,W09E:atp:2025/311/ms016:A0E2,Tour main draw,London / Queen's Club,linked,False
tennis_abstract_chart,CH12,Jan Choinski,2025-11-03,Metz,,R32,Lorenzo Sonego,,,meta.html,20251103-M-Metz-R32-Jan_Choinski-Lorenzo_Sonego,True,CH12:atp:2025/341/ms021:SU87,Tour main draw,Metz,linked,False
tennis_abstract_chart,G0BY,Daniil Glinka,2025-11-16,Drummondville CH,,F,Duncan Chan,,,meta.html,20251116-M-Drummondville_CH-F-Duncan_Chan-Daniil_Glinka,False,G0BY:atp:2025/7235/ms001:C0OF,Challenger main draw,Drummondville,linked,False
tennis_abstract_chart,W09E,Adam Walton,2026-01-18,Australian Open,,R128,Carlos Alcaraz,,,meta.html,20260118-M-Australian_Open-R128-Carlos_Alcaraz-Adam_Walton,False,W09E:atp:2026/580/ms064:A0E2,Tour main draw,Australian Open,linked,False
tennis_abstract_chart,W09E,Adam Walton,2026-05-26,Roland Garros,,R128,Daniil Medvedev,,,meta.html,20260526-M-Roland_Garros-R128-Daniil_Medvedev-Adam_Walton,False,W09E:atp:2026/520/ms095:MM58,Tour main draw,Roland Garros,linked,False
