ref_id,code,player,event_name,event_type,event_date,round,opp_first,opp_last,score,level,year,sofa_status,sofa_id,sofa_ts,sofa_tournament,sofa_category,sofa_round,sofa_opponent,name_score,round_agree,place_agree,days_outside_window,first_to_serve,final_result_only,event_state,pbp_marker
CH12:atp:2015/120/ms000:H844,CH12,Jan Choinski,Germany F2,FU,2015-01-12,R32,Pirmin,Haenle,6-4 4-6 6-7(5),ITF main draw,2015,linked,6582130,1421238900.0,"Germany F2, Singles",ITF Men,absent,Pirmin Haenle,3.0,0.0,1.0,0.0,2,false,finished,True
CH12:atp:2015/179/ms000:I236,CH12,Jan Choinski,Germany F3,FU,2015-01-19,R32,Uladzimir,Ignatik,4-6 7-6(4) 3-6,ITF main draw,2015,linked,6658495,1421847300.0,"Germany F3, Singles",ITF Men,absent,Uladzimir Ignatik,3.0,0.0,1.0,0.0,absent,false,finished,False
CH12:atp:2015/3477/ms000:MM66,CH12,Jan Choinski,Turkey F4,FU,2015-01-26,R32,Nikola,Milojevic,2-6 0-6,ITF main draw,2015,linked,6664676,1422352200.0,"Turkey F4, Singles",ITF Men,absent,Nikola Milojevic,3.0,0.0,1.0,0.0,1,false,finished,True
CH12:atp:2015/3625/ms000:RA24,CH12,Jan Choinski,Turkey F5,FU,2015-02-02,R32,Ruan,Roelofse,5-7 5-7,ITF main draw,2015,linked,6670026,1422954300.0,"Turkey F5, Singles",ITF Men,absent,Ruan Roelofse,3.0,0.0,1.0,0.0,2,false,finished,True
CH12:atp:2015/265/ms031:MG08,CH12,Jan Choinski,France F4,FU,2015-03-02,R32,Yannick,Mertens,2-6 1-6,ITF main draw,2015,linked,6692374,1425319800.0,"France F4, Singles",ITF Men,absent,Yannick Mertens,3.0,0.0,1.0,0.0,2,false,finished,True
CH12:atp:2015/180/ms017:AC55,CH12,Jan Choinski,Great Britain F4,FU,2015-03-16,R32,Sander,Arends,3-6 6-4 5-7,ITF main draw,2015,linked,6704801,1426602900.0,"Great Britain F4, Singles",ITF Men,absent,Sander Arends,3.0,0.0,1.0,0.0,2,false,finished,True
CH12:atp:2015/522/ms003:CB14,CH12,Jan Choinski,Great Britain F5,FU,2015-03-23,SF,Daniel,Cox,1-6 6-7(4),ITF main draw,2015,unobserved,,,,,,,,,,,,,,False
CH12:atp:2015/522/ms007:F751,CH12,Jan Choinski,Great Britain F5,FU,2015-03-23,QF,Tom,Farquharson,6-1 3-6 6-3,ITF main draw,2015,unobserved,,,,,,,,,,,,,,False
CH12:atp:2015/522/ms014:BK05,CH12,Jan Choinski,Great Britain F5,FU,2015-03-23,R16,Luke,Bambridge,1-6 6-4 7-6(2),ITF main draw,2015,unobserved,,,,,,,,,,,,,,False
CH12:atp:2015/522/ms029:CG82,CH12,Jan Choinski,Great Britain F5,FU,2015-03-23,R32,Robert,Carter,1-6 6-2 6-2,ITF main draw,2015,unobserved,,,,,,,,,,,,,,False
CH12:atp:2015/308/qs025:BC72,CH12,Jan Choinski,Munich,250,2015-04-27,Q1,Daniel,Brands,6-7(3) 3-6,Tour qualifying,2015,unobserved,,,,,,,,,,,,,,False
CH12:atp:2015/349/ms008:DA31,CH12,Jan Choinski,Sweden F2,FU,2015-05-04,R16,Hugo,Dellien,6-2 2-6 4-6,ITF main draw,2015,unobserved,,,,,,,,,,,,,,False
CH12:atp:2015/349/ms017:BH94,CH12,Jan Choinski,Sweden F2,FU,2015-05-04,R32,Tobias,Blomgren,6-0,ITF main draw,2015,unobserved,,,,,,,,,,,,,,False
CH12:atp:2015/460/ms018:CA99,CH12,Jan Choinski,Heilbronn,CH,2015-05-11,R32,Marius,Copil,6-7(6) 5-7,Challenger main draw,2015,unobserved,,,,,,,,,,,,,,False
CH12:atp:2015/805/ms007:MF78,CH12,Jan Choinski,Czech Republic F2,FU,2015-05-18,QF,Marek,Michalicka,4-6 7-6(1) 3-6,ITF main draw,2015,linked,6749242,1432285200.0,"Czech Republic F2, Singles",ITF Men,absent,M. Michalička,1.0,0.0,1.0,0.0,1,false,finished,True
CH12:atp:2015/805/ms014:W715,CH12,Jan Choinski,Czech Republic F2,FU,2015-05-18,R16,Hannes,Wagner,6-1 6-2,ITF main draw,2015,linked,6748815,1432205700.0,"Czech Republic F2, Singles",ITF Men,absent,Hannes Wagner,3.0,0.0,1.0,0.0,2,false,finished,True
CH12:atp:2015/805/ms028:HH22,CH12,Jan Choinski,Czech Republic F2,FU,2015-05-18,R32,Milan,Habrman,7-5 6-4,ITF main draw,2015,linked,6747439,1432035900.0,"Czech Republic F2, Singles",ITF Men,absent,Milan Habrman,3.0,0.0,1.0,0.0,2,false,finished,True
CH12:atp:2015/829/ms002:SE78,CH12,Jan Choinski,Czech Republic F3,FU,2015-05-25,SF,Adrian,Sikora,3-6 6-7(3),ITF main draw,2015,linked,6753608,1432981500.0,"Czech Republic F3, Singles",ITF Men,absent,Adrian Sikora,3.0,0.0,1.0,0.0,2,false,finished,True
CH12:atp:2015/829/ms005:MF78,CH12,Jan Choinski,Czech Republic F3,FU,2015-05-25,QF,Marek,Michalicka,6-3 6-4,ITF main draw,2015,linked,6753340,1432894500.0,"Czech Republic F3, Singles",ITF Men,absent,M. Michalička,1.0,0.0,1.0,0.0,1,false,finished,True
CH12:atp:2015/829/ms011:MI33,CH12,Jan Choinski,Czech Republic F3,FU,2015-05-25,R16,Petr,Michnev,7-6(2) 7-6(5),ITF main draw,2015,linked,6752788,1432809000.0,"Czech Republic F3, Singles",ITF Men,absent,Petr Michnev,3.0,0.0,1.0,0.0,2,false,finished,True
CH12:atp:2015/829/ms023:HH36,CH12,Jan Choinski,Czech Republic F3,FU,2015-05-25,R32,Petr,Hajek,6-3 6-1,ITF main draw,2015,linked,6751552,1432630800.0,"Czech Republic F3, Singles",ITF Men,absent,P. Hájek,1.0,0.0,1.0,0.0,2,false,finished,True
CH12:atp:2015/396/qs009:E678,CH12,Jan Choinski,Furth,CH,2015-06-01,Q2,Jonathan,Eysseric,3-6 1-6,Challenger qualifying,2015,absent,,,,,,,,,,,,,,False
CH12:atp:2015/396/qs018:PG10,CH12,Jan Choinski,Furth,CH,2015-06-01,Q1,Janis,Podzus,6-2 6-0,Challenger qualifying,2015,absent,,,,,,,,,,,,,,False
CH12:atp:2015/321/qs011:B678,CH12,Jan Choinski,Stuttgart,250,2015-06-08,Q2,Michael,Berrer,1-6 6-7(2),Tour qualifying,2015,linked,6758739,1433674800.0,"Stuttgart, Germany, Qualifying",ATP,Qualification,Michael Berrer,3.0,1.0,1.0,0.0,1,false,finished,True
