code,year,url,url_event,event_id,event_name,event_type,event_date,round,wl,opp_code,opp_first,opp_last,score,reason,is_bye,has_stats_atp,file,level,ref_id,ref_source,itf_confirmed,itf_key,draw,sources,in_sackmann,in_tml,in_tennis_data,in_otd,in_live_tennis_api,in_charting,in_slam_points,in_polymarket,box_sackmann,box_tml,slam_point_rows,score_states,closing_odds,market_prices,depth,depth_label,walkover,why_missing,player
CH12,2022,en/scores/match-stats/archive/2022/6307/ms005,6307,6307,Campinas,CH,2022-10-03,QF,W,MP20,Alexandre,Muller,6-0 1-6 6-4,,False,True,CH12_2022.txt,Challenger main draw,CH12:atp:2022/6307/ms005:MP20,atp,False,,,"sackmann,tml",True,True,False,False,False,False,False,False,True,True,False,False,False,False,3,Result + serve/return totals,False,,Jan Choinski
CH12,2022,en/scores/match-stats/archive/2022/6307/ms010,6307,6307,Campinas,CH,2022-10-03,R16,W,T0DM,Juan Bautista,Torres,6-2 6-1,,False,True,CH12_2022.txt,Challenger main draw,CH12:atp:2022/6307/ms010:T0DM,atp,False,,,"sackmann,tml",True,True,False,False,False,False,False,False,True,True,False,False,False,False,3,Result + serve/return totals,False,,Jan Choinski
CH12,2022,en/scores/match-stats/archive/2022/6307/ms020,6307,6307,Campinas,CH,2022-10-03,R32,W,LB07,Gonzalo,Lama,6-3 6-1,,False,True,CH12_2022.txt,Challenger main draw,CH12:atp:2022/6307/ms020:LB07,atp,False,,,"sackmann,tml",True,True,False,False,False,False,False,False,True,True,False,False,False,False,3,Result + serve/return totals,False,,Jan Choinski
CH12,2022,en/scores/match-stats/archive/2022/6307/qs009,6307,6307,Campinas,CH,2022-10-03,Q2,W,Z0BY,Nicolas,Zanellato,6-4 6-3,,False,True,CH12_2022.txt,Challenger qualifying,CH12:atp:2022/6307/qs009:Z0BY,atp,False,,,sackmann,True,False,False,False,False,False,False,False,True,False,False,False,False,False,3,Result + serve/return totals,False,,Jan Choinski
CH12,2022,en/scores/match-stats/archive/2022/6307/qs019,6307,6307,Campinas,CH,2022-10-03,Q1,W,C0JX,Sean,Cuenin,7-6(5) 6-1,,False,True,CH12_2022.txt,Challenger qualifying,CH12:atp:2022/6307/qs019:C0JX,atp,False,,,sackmann,True,False,False,False,False,False,False,False,True,False,False,False,False,False,3,Result + serve/return totals,False,,Jan Choinski
CH12,2022,en/scores/match-stats/archive/2022/2813/ms014,2813,2813,Rio de Janeiro,CH,2022-10-10,R16,L,H997,Yannick,Hanfmann,2-6 4-6,,False,True,CH12_2022.txt,Challenger main draw,CH12:atp:2022/2813/ms014:H997,atp,False,,,"sackmann,tml",True,True,False,False,False,False,False,False,True,True,False,False,False,False,3,Result + serve/return totals,False,,Jan Choinski
CH12,2022,en/scores/match-stats/archive/2022/2813/ms029,2813,2813,Rio de Janeiro,CH,2022-10-10,R32,W,PG20,Dmitry,Popko,6-3 3-6 6-3,,False,True,CH12_2022.txt,Challenger main draw,CH12:atp:2022/2813/ms029:PG20,atp,False,,,"sackmann,tml",True,True,False,False,False,False,False,False,True,True,False,False,False,False,3,Result + serve/return totals,False,,Jan Choinski
CH12,2022,en/scores/match-stats/archive/2022/9573/ms017,9573,9573,Ambato,CH,2022-10-17,R32,L,M0GZ,Giovanni,Mpetshi Perricard,3-6 6-7(6),,False,True,CH12_2022.txt,Challenger main draw,CH12:atp:2022/9573/ms017:M0GZ,atp,False,,,sackmann,True,False,False,False,False,False,False,False,True,False,False,False,False,False,3,Result + serve/return totals,False,,Jan Choinski
CH12,2022,en/scores/match-stats/archive/2022/6579/ms031,6579,6579,Lima 2,CH,2022-10-24,R32,L,EA24,Tomas Martin,Etcheverry,4-6 2-6,,False,True,CH12_2022.txt,Challenger main draw,CH12:atp:2022/6579/ms031:EA24,atp,False,,,sackmann,True,False,False,False,False,False,False,False,True,False,False,False,False,False,3,Result + serve/return totals,False,,Jan Choinski
CH12,2022,en/scores/match-stats/archive/2022/6579/qs013,6579,6579,Lima 2,CH,2022-10-24,Q2,W,B0FV,Roman Andres,Burruchaga,6-1 6-3,,False,True,CH12_2022.txt,Challenger qualifying,CH12:atp:2022/6579/qs013:B0FV,atp,False,,,sackmann,True,False,False,False,False,False,False,False,True,False,False,False,False,False,3,Result + serve/return totals,False,,Jan Choinski
CH12,2022,en/scores/match-stats/archive/2022/6579/qs026,6579,6579,Lima 2,CH,2022-10-24,Q1,W,V846,Jose Fco.,Vidal Azorin,6-3 6-2,,False,True,CH12_2022.txt,Challenger qualifying,CH12:atp:2022/6579/qs026:V846,atp,False,,,sackmann,True,False,False,False,False,False,False,False,True,False,False,False,False,False,3,Result + serve/return totals,False,,Jan Choinski
CH12,2022,en/scores/match-stats/archive/2022/7391/ms007,7391,7391,Guayaquil,CH,2022-10-31,QF,L,CF01,Marco,Cecchinato,1-6 3-6,,False,True,CH12_2022.txt,Challenger main draw,CH12:atp:2022/7391/ms007:CF01,atp,False,,,"sackmann,tml",True,True,False,False,False,False,False,False,True,True,False,False,False,False,3,Result + serve/return totals,False,,Jan Choinski
CH12,2022,en/scores/match-stats/archive/2022/7391/ms014,7391,7391,Guayaquil,CH,2022-10-31,R16,W,C0C8,Juan Manuel,Cerundolo,6-7(3) 6-2 6-4,,False,True,CH12_2022.txt,Challenger main draw,CH12:atp:2022/7391/ms014:C0C8,atp,False,,,"sackmann,tml",True,True,False,False,False,False,False,False,True,True,False,False,False,False,3,Result + serve/return totals,False,,Jan Choinski
CH12,2022,en/scores/match-stats/archive/2022/7391/ms029,7391,7391,Guayaquil,CH,2022-10-31,R32,W,T0A1,Thiago Agustin,Tirante,6-3 7-6(5),,False,True,CH12_2022.txt,Challenger main draw,CH12:atp:2022/7391/ms029:T0A1,atp,False,,,"sackmann,tml",True,True,False,False,False,False,False,False,True,True,False,False,False,False,3,Result + serve/return totals,False,,Jan Choinski
CH12,2022,en/scores/match-stats/archive/2022/7391/qs009,7391,7391,Guayaquil,CH,2022-10-31,Q2,W,M0N7,Daniel,Merida,7-5 6-4,,False,True,CH12_2022.txt,Challenger qualifying,CH12:atp:2022/7391/qs009:M0N7,atp,False,,,sackmann,True,False,False,False,False,False,False,False,True,False,False,False,False,False,3,Result + serve/return totals,False,,Jan Choinski
