code,source,source_file,source_row,date,date_kind,event_name,tourney_id,tourney_level,round,opp_name,opp_id,won,score,id_matches,name_matches,second_record,has_box,stat_fields,has_minutes,svpt_w,svpt_l,has_odds,lta_match_id,score_states,chart_id,slam,has_points,market_id,has_prices,ref_id,link,gap_days,date_disagrees,opp_disagrees,elsewhere,player
W09E,sackmann,atp_matches_qual_chall_2023.csv,8259,2023-10-16,tournament week,Hamburg CH,2023-8297,C,R32,Ergi Kirkin,144985,True,6-2 6-4,True,True,False,True,18.0,True,48,73,,,,,,,,,W09E:atp:2023/8297/ms031:KI48,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2023.csv,8275,2023-10-16,tournament week,Hamburg CH,2023-8297,C,R16,Jelle Sels,125847,True,3-6 6-3 6-3,True,True,False,True,18.0,True,73,77,,,,,,,,,W09E:atp:2023/8297/ms015:SO20,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2023.csv,9124,2023-05-29,tournament week,Little Rock CH,2023-9188,C,Q1,Gabriele Brancatelli,212057,True,6-1 6-0,True,True,False,True,18.0,True,33,50,,,,,,,,,W09E:atp:2023/9188/qs016:B0S5,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2023.csv,9130,2023-05-29,tournament week,Little Rock CH,2023-9188,C,Q2,Sasi Kumar Mukund,124154,True,6-7(3) 6-4 6-4,True,True,False,True,18.0,True,95,118,,,,,,,,,W09E:atp:2023/9188/qs008:MP13,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2023.csv,9135,2023-05-29,tournament week,Little Rock CH,2023-9188,C,R32,Marc Polmans,117360,True,6-4 5-7 6-2,True,True,False,True,18.0,True,80,87,,,,,,,,,W09E:atp:2023/9188/ms027:PG94,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2023.csv,9149,2023-05-29,tournament week,Little Rock CH,2023-9188,C,R16,Joao Lucas Reis Da Silva,206307,True,3-6 7-6(2) 6-4,True,True,False,True,18.0,True,99,104,,,,,,,,,W09E:atp:2023/9188/ms013:R0A7,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2023.csv,9156,2023-05-29,tournament week,Little Rock CH,2023-9188,C,QF,Alexis Galarneau,200008,True,6-4 6-1,True,True,False,True,18.0,True,46,65,,,,,,,,,W09E:atp:2023/9188/ms006:GK06,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2023.csv,10010,2023-08-07,tournament week,Cary CH,2023-9560,C,R32,Beibit Zhukayev,202320,True,6-4 6-3,True,True,False,True,18.0,True,45,56,,,,,,,,,W09E:atp:2023/9560/ms029:Z09Z,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2023.csv,10025,2023-08-07,tournament week,Cary CH,2023-9560,C,R16,Billy Harris,126129,True,3-6 7-6(7) 7-6(3),True,True,False,True,18.0,True,106,121,,,,,,,,,W09E:atp:2023/9560/ms014:HD68,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2023.csv,10032,2023-08-07,tournament week,Cary CH,2023-9560,C,QF,Rinky Hijikata,208014,True,6-2 6-4,True,True,False,True,18.0,True,50,51,,,,,,,,,W09E:atp:2023/9560/ms007:H0BH,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2023.csv,10036,2023-08-07,tournament week,Cary CH,2023-9560,C,SF,Liam Broady,106281,True,6-4 7-5,True,True,False,True,18.0,True,71,79,,,,,,,,,W09E:atp:2023/9560/ms003:BI23,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2023.csv,10038,2023-08-07,tournament week,Cary CH,2023-9560,C,F,Nicolas Moreno De Alboran,134457,True,6-4 3-6 7-5,True,True,False,True,18.0,True,116,100,,,,,,,,,W09E:atp:2023/9560/ms001:MW18,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2024.csv,31,2024-01-08,tournament week,Adelaide,2024-8998,A,Q2,Bernabe Zapata Miralles,126523,True,6-3 6-2,True,True,False,True,18.0,True,50,69,,,,,,,,,,official record unread,,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2024.csv,36,2024-01-08,tournament week,Adelaide,2024-8998,A,Q1,Pedro Cachin,106398,True,7-5 7-6(2),True,True,False,True,18.0,True,78,81,,,,,,,,,,official record unread,,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2024.csv,363,2024-03-18,tournament week,Miami Masters,2024-0403,M,Q2,Pedro Martinez,124079,True,3-6 6-2 6-3,True,True,False,True,18.0,True,85,112,,,,,,,,,W09E:atp:2024/403/qs023:MO44,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2024.csv,383,2024-03-18,tournament week,Miami Masters,2024-0403,M,Q1,Thiago Monteiro,106329,True,6-7(5) 7-6(3) 6-4,True,True,False,True,18.0,True,108,100,,,,,,,,,W09E:atp:2024/403/qs047:MJ08,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2024.csv,750,2024-06-24,tournament week,Mallorca,2024-8994,A,Q2,Daniel Masur,109054,True,6-2 7-6(4),True,True,False,True,18.0,True,76,76,,,,,,,,,W09E:atp:2024/8994/qs007:MN20,linked,0.0,False,False,,Adam Walton
